Date,25yr,15yr
12/05/2011,2.983,2.697
12/02/2011,2.972,2.681
12/01/2011,3.070,2.771
11/30/2011,3.001,2.708
11/29/2011,2.891,2.594
11/28/2011,2.852,2.549
11/25/2011,2.860,2.558
11/24/2011,2.762,2.455
11/23/2011,2.762,2.456
11/22/2011,2.844,2.540
11/21/2011,2.875,2.569
11/18/2011,2.932,2.625
11/17/2011,2.911,2.586
11/16/2011,2.986,2.667
11/15/2011,3.028,2.709
11/14/2011,3.018,2.685
11/11/2011,3.059,2.713
11/10/2011,3.061,2.716
11/09/2011,2.974,2.620
11/08/2011,3.080,2.749
11/07/2011,2.994,2.667
11/04/2011,3.054,2.731
11/03/2011,3.071,2.748
11/02/2011,2.997,2.680
11/01/2011,2.965,2.660
10/31/2011,3.159,2.855
10/28/2011,3.304,2.994
10/27/2011,3.398,3.086
10/26/2011,3.178,2.858
10/25/2011,3.100,2.775
10/24/2011,3.233,2.906
10/21/2011,3.214,2.877
10/20/2011,3.164,2.842
10/19/2011,3.129,2.810
10/18/2011,3.111,2.801
10/17/2011,3.096,2.791
10/14/2011,3.171,2.876
10/13/2011,3.101,2.798
10/12/2011,3.177,2.862
10/11/2011,3.078,2.772
10/10/2011,2.989,2.676
10/07/2011,2.991,2.679
10/06/2011,2.925,2.607
10/05/2011,2.863,2.536
10/04/2011,2.743,2.428
10/03/2011,2.738,2.432
09/30/2011,2.895,2.603
09/29/2011,2.974,2.628
09/28/2011,3.060,2.703
09/27/2011,3.084,2.712
09/26/2011,2.974,2.579
09/23/2011,2.837,2.458
09/22/2011,2.745,2.373
09/21/2011,2.976,2.552
09/20/2011,3.153,2.673
09/19/2011,3.137,2.652
09/16/2011,3.276,2.795
09/15/2011,3.285,2.812
09/14/2011,3.233,2.736
09/13/2011,3.250,2.748
09/12/2011,3.171,2.674
09/09/2011,3.182,2.680
09/08/2011,3.241,2.752
09/07/2011,3.280,2.787
09/06/2011,3.192,2.701
09/05/2011,3.239,2.726
09/02/2011,3.242,2.729
09/01/2011,3.428,2.923
08/31/2011,3.507,3.014
08/30/2011,3.424,2.926
08/29/2011,3.533,3.040
08/26/2011,3.447,2.954
08/25/2011,3.498,2.989
08/24/2011,3.522,3.034
08/23/2011,3.387,2.885
08/22/2011,3.312,2.809
08/19/2011,3.299,2.807
08/18/2011,3.348,2.845
08/17/2011,3.472,2.960
08/16/2011,3.540,3.018
08/15/2011,3.637,3.078
08/12/2011,3.590,3.025
08/11/2011,3.692,3.130
08/10/2011,3.463,2.927
08/09/2011,3.504,2.997
08/08/2011,3.594,3.118
08/05/2011,3.749,3.332
08/04/2011,3.645,3.240
08/03/2011,3.795,3.389
08/02/2011,3.841,3.424
08/01/2011,3.989,3.550
07/29/2011,4.047,3.604
07/28/2011,4.171,3.751
07/27/2011,4.194,3.776
07/26/2011,4.189,3.763
07/25/2011,4.237,3.820
07/22/2011,4.176,3.759
